time,temperature,humidity
2019-10-14 16:21:09:,77,59.0
2019-10-14 16:21:13:,77,57.0
2019-10-14 16:21:16:,77,57.0
2019-10-14 16:21:19:,77,57.0
2019-10-14 16:21:22:,77,57.0
2019-10-14 16:21:26:,77,57.0
2019-10-14 16:21:29:,77,63.0
2019-10-14 16:21:32:,77,77.0
2019-10-14 16:21:35:,77,83.0
2019-10-14 16:21:41:,79,90.0
2019-10-14 16:21:44:,79,92.0
2019-10-14 16:21:47:,79,92.0
2019-10-14 16:21:50:,81,93.0
2019-10-14 16:21:56:,81,95.0
2019-10-14 16:21:59:,81,95.0
2019-10-14 16:22:03:,81,93.0
2019-10-14 16:22:06:,81,93.0
2019-10-14 16:22:09:,81,93.0
2019-10-14 16:22:12:,82,84.0
2019-10-14 16:22:15:,82,74.0
2019-10-14 16:22:18:,82,68.0
2019-10-14 16:22:21:,82,64.0
2019-10-14 16:22:24:,82,61.0
2019-10-14 16:22:27:,82,60.0
2019-10-14 16:22:31:,82,59.0
2019-10-14 16:26:40:,79,56.0
2019-10-14 16:26:43:,79,56.0
2019-10-14 16:26:46:,79,56.0
2019-10-14 16:26:52:,79,70.0
2019-10-14 16:26:55:,79,80.0
2019-10-14 16:26:58:,79,86.0
2019-10-14 16:27:01:,81,90.0
2019-10-14 16:27:05:,81,91.0
2019-10-14 16:27:08:,81,92.0
2019-10-14 16:27:11:,82,93.0
2019-10-14 16:27:16:,82,82.0
2019-10-14 16:27:19:,82,73.0
2019-10-14 16:27:23:,82,66.0
2019-10-14 16:27:28:,84,59.0
2019-10-14 16:27:31:,84,57.0
2019-10-14 16:29:46:,81,56.0
2019-10-14 16:29:49:,81,53.0
2019-10-14 16:29:52:,81,53.0
2019-10-14 16:29:56:,81,53.0
2019-10-14 16:29:59:,81,53.0
2019-10-14 16:30:02:,81,54.0
2019-10-14 16:30:05:,81,67.0
2019-10-14 16:30:08:,81,77.0
2019-10-14 16:30:12:,81,82.0
2019-10-14 16:30:15:,81,85.0
2019-10-14 16:30:18:,81,83.0
2019-10-14 16:30:21:,81,74.0
2019-10-14 16:30:24:,81,67.0
2019-10-14 16:30:27:,81,63.0
2019-10-14 16:30:31:,81,61.0
2019-10-14 16:30:34:,81,59.0
2019-10-14 16:30:37:,81,57.0
2019-10-14 16:30:40:,81,57.0
2019-10-14 16:30:43:,82,57.0
2019-10-14 16:30:47:,81,55.0
2019-10-14 16:30:50:,81,55.0
2019-10-14 16:34:20:,79,58.0
2019-10-14 16:34:26:,79,56.0
2019-10-14 16:34:34:,79,82.0
2019-10-14 16:34:37:,81,85.0
2019-10-14 16:34:40:,81,87.0
2019-10-14 16:34:44:,81,88.0
2019-10-14 16:34:47:,81,89.0
2019-10-14 16:34:50:,82,90.0
2019-10-14 16:34:53:,82,90.0
2019-10-14 16:34:56:,82,89.0
2019-10-14 16:34:59:,82,89.0
2019-10-14 16:35:05:,84,89.0
2019-10-14 16:35:08:,84,89.0
2019-10-14 16:35:12:,84,86.0
2019-10-14 16:35:15:,84,74.0
2019-10-14 16:35:18:,84,68.0
2019-10-14 16:35:21:,84,63.0
2019-10-14 16:35:24:,84,60.0
2019-10-14 16:35:30:,84,56.0
2019-10-14 16:35:33:,84,55.0
2019-10-14 16:35:37:,84,54.0
2019-10-14 16:35:40:,84,53.0
2019-10-14 16:35:45:,84,52.0
2019-10-14 16:35:54:,82,51.0
2019-10-14 16:35:57:,82,51.0
2019-10-14 16:36:00:,82,51.0
2019-10-14 16:36:08:,82,51.0
2019-10-14 16:43:09:,79,59.0
2019-10-14 16:43:13:,79,57.0
2019-10-14 16:43:16:,79,68.0
2019-10-14 16:43:19:,79,79.0
2019-10-14 16:43:27:,81,91.0
2019-10-14 16:43:30:,81,92.0
2019-10-14 16:43:34:,82,93.0
2019-10-14 16:43:37:,82,93.0
2019-10-14 16:43:40:,82,92.0
2019-10-14 16:43:43:,82,91.0
2019-10-14 16:43:46:,84,91.0
2019-10-14 16:43:49:,84,90.0
2019-10-14 16:43:53:,84,90.0
2019-10-14 16:43:56:,84,89.0
2019-10-14 16:43:59:,84,88.0
2019-10-14 16:44:02:,84,88.0
2019-10-14 16:44:05:,84,87.0
2019-10-14 16:44:08:,86,87.0
2019-10-14 16:44:12:,86,86.0
2019-10-14 16:44:15:,86,86.0
2019-10-14 16:44:18:,86,86.0
2019-10-14 16:44:21:,86,85.0
2019-10-14 16:44:24:,86,85.0
2019-10-14 16:44:27:,86,85.0
2019-10-14 16:44:31,86,85.0
2019-10-14 16:44:34,86,85.0
2019-10-14 16:44:37,86,76.0
2019-10-14 16:44:40,86,68.0
2019-10-14 16:44:46,86,60.0
2019-10-14 16:44:49,86,58.0
2019-10-14 16:44:52,86,56.0
2019-10-14 16:44:55,86,54.0
2019-10-14 16:44:59,86,53.0
2019-10-14 16:45:04,86,52.0
2019-10-14 16:45:07,86,51.0
2019-10-14 16:45:11,84,51.0
2019-10-14 16:45:14,84,51.0
2019-10-14 16:45:17,84,51.0
2019-10-14 16:45:20,84,51.0
